[2024-05-31T23:21:03] Estimation window: 2002-06-04 - 2006-05-22, Best order: (5, 0, 4), AIC: -6295.48, Final model converged
[2024-05-31T23:21:24] Estimation window: 2002-06-05 - 2006-05-23, Best order: (5, 0, 4), AIC: -6295.71, Final model converged
[2024-05-31T23:21:47] Estimation window: 2002-06-06 - 2006-05-24, Best order: (5, 0, 4), AIC: -6296.57, Final model converged
[2024-05-31T23:22:13] Estimation window: 2002-06-07 - 2006-05-25, Best order: (5, 0, 4), AIC: -6297.41, Final model converged
[2024-05-31T23:22:38] Estimation window: 2002-06-10 - 2006-05-26, Best order: (5, 0, 4), AIC: -6297.18, Final model converged
[2024-05-31T23:23:02] Estimation window: 2002-06-11 - 2006-05-30, Best order: (5, 0, 4), AIC: -6294.38, Final model converged
[2024-05-31T23:23:25] Estimation window: 2002-06-12 - 2006-05-31, Best order: (5, 0, 5), AIC: -6295.88, Final model converged
[2024-05-31T23:23:48] Estimation window: 2002-06-13 - 2006-06-01, Best order: (5, 0, 5), AIC: -6294.77, Final model converged
[2024-05-31T23:24:16] Estimation window: 2002-06-14 - 2006-06-02, Best order: (5, 0, 5), AIC: -6295.91, Final model converged
[2024-05-31T23:24:51] Estimation window: 2002-06-17 - 2006-06-05, Best order: (5, 0, 5), AIC: -6293.56, Final model converged
[2024-05-31T23:25:26] Estimation window: 2002-06-18 - 2006-06-06, Best order: (5, 0, 4), AIC: -6297.62, Final model converged
[2024-05-31T23:26:04] Estimation window: 2002-06-19 - 2006-06-07, Best order: (5, 0, 4), AIC: -6297.49, Final model converged
[2024-05-31T23:26:43] Estimation window: 2002-06-20 - 2006-06-08, Best order: (5, 0, 5), AIC: -6304.46, Final model converged
[2024-05-31T23:27:21] Estimation window: 2002-06-21 - 2006-06-09, Best order: (5, 0, 5), AIC: -6306.68, Final model converged
[2024-05-31T23:27:54] Estimation window: 2002-06-24 - 2006-06-12, Best order: (5, 0, 5), AIC: -6300.17, Final model converged
[2024-05-31T23:28:28] Estimation window: 2002-06-25 - 2006-06-13, Best order: (5, 0, 5), AIC: -6305.65, Final model converged
[2024-05-31T23:29:04] Estimation window: 2002-06-26 - 2006-06-14, Best order: (5, 0, 3), AIC: -6301.46, Final model converged
[2024-05-31T23:29:33] Estimation window: 2002-06-27 - 2006-06-15, Best order: (3, 0, 3), AIC: -6294.31, Final model converged
[2024-05-31T23:30:12] Estimation window: 2002-06-28 - 2006-06-16, Best order: (5, 0, 5), AIC: -6305.23, Final model converged
[2024-05-31T23:30:48] Estimation window: 2002-07-01 - 2006-06-19, Best order: (5, 0, 3), AIC: -6298.77, Final model converged
[2024-05-31T23:31:26] Estimation window: 2002-07-02 - 2006-06-20, Best order: (3, 0, 5), AIC: -6310.22, Final model converged
[2024-05-31T23:32:08] Estimation window: 2002-07-03 - 2006-06-21, Best order: (3, 0, 5), AIC: -6313.76, Final model converged
[2024-05-31T23:32:51] Estimation window: 2002-07-05 - 2006-06-22, Best order: (5, 0, 3), AIC: -6313.28, Final model converged
[2024-05-31T23:33:21] Estimation window: 2002-07-08 - 2006-06-23, Best order: (5, 0, 3), AIC: -6326.06, Final model converged
[2024-05-31T23:34:02] Estimation window: 2002-07-09 - 2006-06-26, Best order: (3, 0, 5), AIC: -6327.9, Final model converged
[2024-05-31T23:34:42] Estimation window: 2002-07-10 - 2006-06-27, Best order: (3, 0, 5), AIC: -6334.23, Final model converged
[2024-05-31T23:35:15] Estimation window: 2002-07-11 - 2006-06-28, Best order: (3, 0, 5), AIC: -6341.08, Final model converged
[2024-05-31T23:35:45] Estimation window: 2002-07-12 - 2006-06-29, Best order: (3, 0, 3), AIC: -6339.46, Final model converged
[2024-05-31T23:36:26] Estimation window: 2002-07-15 - 2006-06-30, Best order: (5, 0, 4), AIC: -6345.96, Final model converged
[2024-05-31T23:37:01] Estimation window: 2002-07-16 - 2006-07-03, Best order: (5, 0, 4), AIC: -6345.38, Final model converged
[2024-05-31T23:37:29] Estimation window: 2002-07-17 - 2006-07-05, Best order: (5, 0, 5), AIC: -6348.11, Final model converged
[2024-05-31T23:38:05] Estimation window: 2002-07-18 - 2006-07-06, Best order: (5, 0, 5), AIC: -6349.63, Final model converged
