[2024-05-31T23:36:40] Estimation window: 2006-10-10 - 2010-09-29, Best order: (5, 0, 2), AIC: -5319.54, Final model converged
[2024-05-31T23:37:13] Estimation window: 2006-10-11 - 2010-09-30, Best order: (5, 0, 2), AIC: -5318.83, Final model converged
[2024-05-31T23:37:48] Estimation window: 2006-10-12 - 2010-10-01, Best order: (5, 0, 2), AIC: -5319.48, Final model converged
[2024-05-31T23:38:21] Estimation window: 2006-10-13 - 2010-10-04, Best order: (5, 0, 2), AIC: -5319.82, Final model converged
[2024-05-31T23:38:55] Estimation window: 2006-10-16 - 2010-10-05, Best order: (5, 0, 5), AIC: -5315.91, Final model converged
[2024-05-31T23:39:23] Estimation window: 2006-10-17 - 2010-10-06, Best order: (2, 0, 5), AIC: -5316.94, Final model converged
[2024-05-31T23:39:54] Estimation window: 2006-10-18 - 2010-10-07, Best order: (2, 0, 5), AIC: -5316.75, Final model converged
[2024-05-31T23:40:23] Estimation window: 2006-10-19 - 2010-10-08, Best order: (2, 0, 5), AIC: -5316.85, Final model converged
[2024-05-31T23:40:53] Estimation window: 2006-10-20 - 2010-10-11, Best order: (2, 0, 5), AIC: -5316.71, Final model converged
[2024-05-31T23:41:21] Estimation window: 2006-10-23 - 2010-10-12, Best order: (2, 0, 5), AIC: -5316.49, Final model converged
[2024-05-31T23:41:53] Estimation window: 2006-10-24 - 2010-10-13, Best order: (2, 0, 5), AIC: -5316.42, Final model converged
[2024-05-31T23:42:26] Estimation window: 2006-10-25 - 2010-10-14, Best order: (2, 0, 5), AIC: -5316.48, Final model converged
[2024-05-31T23:42:58] Estimation window: 2006-10-26 - 2010-10-15, Best order: (2, 0, 5), AIC: -5316.43, Final model converged
[2024-05-31T23:43:31] Estimation window: 2006-10-27 - 2010-10-18, Best order: (2, 0, 5), AIC: -5316.38, Final model converged
[2024-05-31T23:44:07] Estimation window: 2006-10-30 - 2010-10-19, Best order: (2, 0, 5), AIC: -5315.88, Final model converged
[2024-05-31T23:44:38] Estimation window: 2006-10-31 - 2010-10-20, Best order: (5, 0, 5), AIC: -5314.88, Final model converged
[2024-05-31T23:45:07] Estimation window: 2006-11-01 - 2010-10-21, Best order: (2, 0, 5), AIC: -5315.78, Final model converged
[2024-05-31T23:45:36] Estimation window: 2006-11-02 - 2010-10-22, Best order: (2, 0, 5), AIC: -5316.18, Final model converged
[2024-05-31T23:46:07] Estimation window: 2006-11-03 - 2010-10-25, Best order: (2, 0, 5), AIC: -5316.2, Final model converged
[2024-05-31T23:46:39] Estimation window: 2006-11-06 - 2010-10-26, Best order: (2, 0, 5), AIC: -5316.08, Final model converged
[2024-05-31T23:47:07] Estimation window: 2006-11-07 - 2010-10-27, Best order: (2, 0, 5), AIC: -5316.74, Final model converged
[2024-05-31T23:48:17] Estimation window: 2006-11-08 - 2010-10-28, Best order: (2, 0, 5), AIC: -5316.71, Final model converged
[2024-05-31T23:48:54] Estimation window: 2006-11-09 - 2010-10-29, Best order: (2, 0, 5), AIC: -5316.83, Final model converged
[2024-05-31T23:49:20] Estimation window: 2006-11-10 - 2010-11-01, Best order: (2, 0, 5), AIC: -5317.01, Final model converged
[2024-05-31T23:49:47] Estimation window: 2006-11-13 - 2010-11-02, Best order: (2, 0, 5), AIC: -5317.11, Final model converged
[2024-05-31T23:50:12] Estimation window: 2006-11-14 - 2010-11-03, Best order: (2, 0, 5), AIC: -5316.79, Final model converged
[2024-05-31T23:50:37] Estimation window: 2006-11-15 - 2010-11-04, Best order: (2, 0, 5), AIC: -5315.75, Final model converged
[2024-05-31T23:51:03] Estimation window: 2006-11-16 - 2010-11-05, Best order: (2, 0, 5), AIC: -5315.65, Final model converged
[2024-05-31T23:51:28] Estimation window: 2006-11-17 - 2010-11-08, Best order: (2, 0, 5), AIC: -5315.57, Final model converged
[2024-05-31T23:51:50] Estimation window: 2006-11-20 - 2010-11-09, Best order: (5, 0, 5), AIC: -5314.42, Final model converged
